date,overpass,latitude,longitude,soil_moisture_m3m3,quality_flag
2024-12-03,PM,38.1862,-78.3766,0.2317,1
2024-12-03,PM,38.1862,-78.2832,0.2183,1
2024-12-03,PM,38.0969,-78.75,0.2607,1
2024-12-03,PM,38.0969,-78.6566,0.257,1
2024-12-03,PM,38.0969,-78.5633,0.2309,1
2024-12-03,PM,38.0969,-78.4699,0.2489,1
2024-12-03,PM,38.0969,-78.3766,0.2685,1
2024-12-03,PM,38.0969,-78.2832,0.2467,1
2024-12-03,PM,38.0077,-78.75,0.2592,1
2024-12-03,PM,38.0077,-78.6566,0.2698,1
2024-12-03,PM,38.0077,-78.5633,0.251,1
2024-12-03,PM,38.0077,-78.4699,0.2616,1
2024-12-03,PM,38.0077,-78.3766,0.2914,1
2024-12-03,PM,38.0077,-78.2832,0.2796,1
2024-12-03,PM,37.9186,-78.75,0.2719,1
2024-12-03,PM,37.9186,-78.6566,0.2644,1
2024-12-03,PM,37.9186,-78.5633,0.2716,1
2024-12-03,PM,37.9186,-78.4699,0.2755,1
2024-12-03,PM,37.9186,-78.3766,0.3013,1
2024-12-03,PM,37.9186,-78.2832,0.3004,1
2024-12-03,PM,37.8296,-78.75,0.2619,1
2024-12-03,PM,37.8296,-78.6566,0.2721,1
2024-12-03,PM,37.8296,-78.5633,0.2851,1
2024-12-03,PM,37.8296,-78.4699,0.3126,1
2024-12-03,PM,37.8296,-78.3766,0.3234,1
2024-12-03,PM,37.8296,-78.2832,0.3258,1
2024-12-03,PM,37.7407,-78.75,0.2825,1
2024-12-03,PM,37.7407,-78.6566,0.2637,1
2024-12-03,PM,37.7407,-78.5633,0.2682,1
2024-12-03,PM,37.7407,-78.4699,0.2849,1
2024-12-03,PM,37.7407,-78.3766,0.324,1
2024-12-03,PM,37.7407,-78.2832,0.3241,1
2024-12-05,AM,38.2757,-78.75,0.2048,1
2024-12-05,AM,38.2757,-78.6566,0.2404,1
2024-12-05,AM,38.2757,-78.5633,0.2251,1
2024-12-05,AM,38.2757,-78.4699,0.2254,1
2024-12-05,AM,38.2757,-78.3766,0.2339,1
2024-12-05,AM,38.2757,-78.2832,0.2358,1
2024-12-05,AM,38.1862,-78.75,0.2127,1
2024-12-05,AM,38.1862,-78.6566,0.2411,1
2024-12-05,AM,38.1862,-78.5633,0.2326,1
2024-12-05,AM,38.1862,-78.4699,0.2312,1
2024-12-05,AM,38.1862,-78.3766,0.2242,1
2024-12-05,AM,38.1862,-78.2832,0.2138,1
2024-12-05,AM,38.0969,-78.75,0.2202,1
2024-12-05,AM,38.0969,-78.6566,0.2402,1
2024-12-05,AM,38.0969,-78.5633,0.2417,1
2024-12-05,AM,38.0969,-78.4699,0.2491,1
2024-12-05,AM,38.0969,-78.3766,0.2396,1
2024-12-05,AM,38.0969,-78.2832,0.2276,1
2024-12-05,AM,38.0077,-78.75,0.2593,1
2024-12-05,AM,38.0077,-78.6566,0.2768,1
2024-12-05,AM,38.0077,-78.5633,0.2671,1
2024-12-05,AM,38.0077,-78.4699,0.2719,1
2024-12-05,AM,38.0077,-78.3766,0.2794,1
2024-12-05,AM,38.0077,-78.2832,0.2629,1
2024-12-05,AM,37.9186,-78.75,0.3007,1
2024-12-05,AM,37.9186,-78.6566,0.2847,1
2024-12-05,AM,37.9186,-78.5633,0.2757,1
2024-12-05,AM,37.9186,-78.4699,0.275,1
2024-12-05,AM,37.9186,-78.3766,0.2848,1
2024-12-05,AM,37.9186,-78.2832,0.2744,1
2024-12-05,AM,37.8296,-78.75,0.286,1
2024-12-05,AM,37.8296,-78.6566,0.2798,1
2024-12-05,AM,37.8296,-78.5633,0.2809,1
2024-12-05,AM,37.8296,-78.4699,0.2735,1
2024-12-05,AM,37.8296,-78.3766,0.2799,1
2024-12-05,AM,37.8296,-78.2832,0.2991,1
2024-12-05,AM,37.7407,-78.75,0.3092,1
2024-12-05,AM,37.7407,-78.6566,0.287,1
2024-12-05,AM,37.7407,-78.5633,0.2772,1
2024-12-05,AM,37.7407,-78.4699,0.2577,1
2024-12-05,AM,37.7407,-78.3766,0.2832,1
2024-12-05,AM,37.7407,-78.2832,0.3244,1
2024-12-05,PM,38.2757,-78.3766,0.2236,1
2024-12-05,PM,38.2757,-78.2832,0.2259,1
2024-12-05,PM,38.1862,-78.3766,0.2392,1
2024-12-05,PM,38.1862,-78.2832,0.2221,1
2024-12-05,PM,38.0969,-78.3766,0.3039,1
2024-12-05,PM,38.0969,-78.2832,0.2431,1
2024-12-05,PM,38.0077,-78.2832,0.2676,1
2024-12-05,PM,37.9186,-78.2832,0.2632,1
2024-12-05,PM,37.8296,-78.2832,0.3129,1
2024-12-06,AM,38.2757,-78.75,0.2024,1
2024-12-06,AM,38.2757,-78.6566,0.2404,1
2024-12-06,AM,38.2757,-78.5633,0.2456,1
2024-12-06,AM,38.2757,-78.4699,0.2372,1
2024-12-06,AM,38.2757,-78.3766,0.2142,1
2024-12-06,AM,38.2757,-78.2832,0.2091,1
2024-12-06,AM,38.1862,-78.75,0.2345,1
2024-12-06,AM,38.1862,-78.6566,0.2504,1
2024-12-06,AM,38.1862,-78.5633,0.2309,1
2024-12-06,AM,38.1862,-78.4699,0.2232,1
2024-12-06,AM,38.1862,-78.3766,0.2189,1
2024-12-06,AM,38.1862,-78.2832,0.2286,1
2024-12-06,AM,38.0969,-78.75,0.2452,1
2024-12-06,AM,38.0969,-78.6566,0.2573,1
2024-12-06,AM,38.0969,-78.5633,0.2335,1
2024-12-06,AM,38.0969,-78.4699,0.2481,1
2024-12-06,AM,38.0969,-78.3766,0.252,1
2024-12-06,AM,38.0969,-78.2832,0.2524,1
2024-12-06,AM,38.0077,-78.75,0.2562,1
2024-12-06,AM,38.0077,-78.6566,0.2766,1
2024-12-06,AM,38.0077,-78.5633,0.2655,1
2024-12-06,AM,38.0077,-78.4699,0.2733,1
2024-12-06,AM,38.0077,-78.3766,0.2677,1
2024-12-06,AM,38.0077,-78.2832,0.274,1
2024-12-06,AM,37.9186,-78.75,0.2827,1
2024-12-06,AM,37.9186,-78.6566,0.274,1
2024-12-06,AM,37.9186,-78.5633,0.2508,1
2024-12-06,AM,37.9186,-78.4699,0.2382,1
2024-12-06,AM,37.9186,-78.3766,0.2713,1
2024-12-06,AM,37.9186,-78.2832,0.2829,1
2024-12-06,AM,37.8296,-78.75,0.3176,1
2024-12-06,AM,37.8296,-78.6566,0.3218,1
2024-12-06,AM,37.8296,-78.5633,0.2784,1
2024-12-06,AM,37.8296,-78.4699,0.2636,1
2024-12-06,AM,37.8296,-78.3766,0.3011,1
2024-12-06,AM,37.8296,-78.2832,0.3038,1
2024-12-06,AM,37.7407,-78.75,0.3224,1
2024-12-06,AM,37.7407,-78.6566,0.28,1
2024-12-06,AM,37.7407,-78.5633,0.2604,1
2024-12-06,AM,37.7407,-78.4699,0.2504,1
2024-12-06,AM,37.7407,-78.3766,0.2742,1
2024-12-06,AM,37.7407,-78.2832,0.2935,1
2024-12-08,AM,38.2757,-78.75,0.1891,1
2024-12-08,AM,38.2757,-78.6566,0.2103,1
2024-12-08,AM,38.2757,-78.5633,0.1962,1
2024-12-08,AM,38.2757,-78.4699,0.1974,1
2024-12-08,AM,38.2757,-78.3766,0.2103,1
2024-12-08,AM,38.2757,-78.2832,0.2122,1
2024-12-08,AM,38.1862,-78.75,0.2021,1
2024-12-08,AM,38.1862,-78.6566,0.2127,1
2024-12-08,AM,38.1862,-78.5633,0.1919,1
2024-12-08,AM,38.1862,-78.4699,0.1966,1
2024-12-08,AM,38.1862,-78.3766,0.2096,1
2024-12-08,AM,38.1862,-78.2832,0.2127,1
2024-12-08,AM,38.0969,-78.75,0.2079,1
2024-12-08,AM,38.0969,-78.6566,0.2145,1
2024-12-08,AM,38.0969,-78.5633,0.2024,1
2024-12-08,AM,38.0969,-78.4699,0.2171,1
2024-12-08,AM,38.0969,-78.3766,0.2317,1
2024-12-08,AM,38.0969,-78.2832,0.2289,1
2024-12-08,AM,38.0077,-78.75,0.2134,1
2024-12-08,AM,38.0077,-78.6566,0.2155,1
2024-12-08,AM,38.0077,-78.5633,0.2155,1
2024-12-08,AM,38.0077,-78.4699,0.2367,1
2024-12-08,AM,38.0077,-78.3766,0.2548,1
2024-12-08,AM,38.0077,-78.2832,0.2397,1
2024-12-08,AM,37.9186,-78.75,0.2419,1
2024-12-08,AM,37.9186,-78.6566,0.2228,1
2024-12-08,AM,37.9186,-78.5633,0.2256,1
2024-12-08,AM,37.9186,-78.4699,0.2343,1
2024-12-08,AM,37.9186,-78.3766,0.2516,1
2024-12-08,AM,37.9186,-78.2832,0.2435,1
2024-12-08,AM,37.8296,-78.75,0.2531,1
2024-12-08,AM,37.8296,-78.6566,0.2466,1
2024-12-08,AM,37.8296,-78.5633,0.2366,1
2024-12-08,AM,37.8296,-78.4699,0.2423,1
2024-12-08,AM,37.8296,-78.3766,0.2553,1
2024-12-08,AM,37.8296,-78.2832,0.2572,1
2024-12-08,AM,37.7407,-78.75,0.2701,1
2024-12-08,AM,37.7407,-78.6566,0.2526,1
2024-12-08,AM,37.7407,-78.5633,0.2309,1
2024-12-08,AM,37.7407,-78.4699,0.2238,1
2024-12-08,AM,37.7407,-78.3766,0.2407,1
2024-12-08,AM,37.7407,-78.2832,0.2584,1
2024-12-08,PM,38.2757,-78.75,0.1745,1
2024-12-08,PM,38.2757,-78.6566,0.1893,1
2024-12-08,PM,38.2757,-78.5633,0.1851,1
2024-12-08,PM,38.2757,-78.4699,0.1895,1
2024-12-08,PM,38.2757,-78.3766,0.1817,1
2024-12-08,PM,38.2757,-78.2832,0.1802,1
2024-12-08,PM,38.1862,-78.75,0.1788,1
2024-12-08,PM,38.1862,-78.6566,0.1874,1
2024-12-08,PM,38.1862,-78.5633,0.1745,1
2024-12-08,PM,38.1862,-78.4699,0.1845,1
2024-12-08,PM,38.1862,-78.3766,0.1862,1
2024-12-08,PM,38.1862,-78.2832,0.1887,1
2024-12-08,PM,38.0969,-78.75,0.1739,1
2024-12-08,PM,38.0969,-78.6566,0.1865,1
2024-12-08,PM,38.0969,-78.5633,0.1966,1
2024-12-08,PM,38.0969,-78.4699,0.2207,1
2024-12-08,PM,38.0969,-78.3766,0.225,1
2024-12-08,PM,38.0969,-78.2832,0.2275,1
2024-12-08,PM,38.0077,-78.75,0.1731,1
2024-12-08,PM,38.0077,-78.6566,0.1854,1
2024-12-08,PM,38.0077,-78.5633,0.2216,1
2024-12-08,PM,38.0077,-78.4699,0.25,1
2024-12-08,PM,38.0077,-78.3766,0.2532,1
2024-12-08,PM,38.0077,-78.2832,0.2578,1
2024-12-08,PM,37.9186,-78.75,0.2196,1
2024-12-08,PM,37.9186,-78.6566,0.2043,1
2024-12-08,PM,37.9186,-78.5633,0.2216,1
2024-12-08,PM,37.9186,-78.4699,0.2233,1
2024-12-08,PM,37.9186,-78.3766,0.2402,1
2024-12-08,PM,37.9186,-78.2832,0.2665,1
2024-12-08,PM,37.8296,-78.75,0.2387,1
2024-12-08,PM,37.8296,-78.6566,0.259,1
2024-12-08,PM,37.8296,-78.5633,0.2498,1
2024-12-08,PM,37.8296,-78.4699,0.2181,1
2024-12-08,PM,37.8296,-78.3766,0.2352,1
2024-12-08,PM,37.8296,-78.2832,0.274,1
2024-12-08,PM,37.7407,-78.75,0.2263,1
2024-12-08,PM,37.7407,-78.6566,0.2303,1
2024-12-08,PM,37.7407,-78.5633,0.2414,1
2024-12-08,PM,37.7407,-78.4699,0.2231,1
2024-12-08,PM,37.7407,-78.3766,0.2387,1
2024-12-08,PM,37.7407,-78.2832,0.2644,1
2026-05-02,AM,38.2757,-78.75,0.2383,1
2026-05-02,AM,38.2757,-78.6566,0.2547,1
2026-05-02,AM,38.2757,-78.5633,0.2345,1
2026-05-02,AM,38.2757,-78.4699,0.2137,1
2026-05-02,AM,38.2757,-78.3766,0.1931,1
2026-05-02,AM,38.2757,-78.2832,0.1788,1
2026-05-02,AM,38.1862,-78.75,0.2247,1
2026-05-02,AM,38.1862,-78.6566,0.2461,1
2026-05-02,AM,38.1862,-78.5633,0.2356,1
2026-05-02,AM,38.1862,-78.4699,0.2202,1
2026-05-02,AM,38.1862,-78.3766,0.1942,1
2026-05-02,AM,38.1862,-78.2832,0.1804,1
2026-05-02,AM,38.0969,-78.75,0.2216,1
2026-05-02,AM,38.0969,-78.6566,0.2381,1
2026-05-02,AM,38.0969,-78.5633,0.2106,1
2026-05-02,AM,38.0969,-78.4699,0.2056,1
2026-05-02,AM,38.0969,-78.3766,0.2028,1
2026-05-02,AM,38.0969,-78.2832,0.1731,1
2026-05-02,AM,38.0077,-78.75,0.2198,1
2026-05-02,AM,38.0077,-78.6566,0.2275,1
2026-05-02,AM,38.0077,-78.5633,0.1911,1
2026-05-02,AM,38.0077,-78.4699,0.1869,1
2026-05-02,AM,38.0077,-78.3766,0.2107,1
2026-05-02,AM,38.0077,-78.2832,0.188,1
2026-05-02,AM,37.9186,-78.75,0.2523,1
2026-05-02,AM,37.9186,-78.6566,0.2311,1
2026-05-02,AM,37.9186,-78.5633,0.2047,1
2026-05-02,AM,37.9186,-78.4699,0.2061,1
2026-05-02,AM,37.9186,-78.3766,0.2167,1
2026-05-02,AM,37.9186,-78.2832,0.1942,1
2026-05-02,AM,37.8296,-78.75,0.2527,1
2026-05-02,AM,37.8296,-78.6566,0.2418,1
2026-05-02,AM,37.8296,-78.5633,0.2063,1
2026-05-02,AM,37.8296,-78.4699,0.2143,1
2026-05-02,AM,37.8296,-78.3766,0.2522,1
2026-05-02,AM,37.8296,-78.2832,0.2527,1
2026-05-02,AM,37.7407,-78.75,0.297,1
2026-05-02,AM,37.7407,-78.6566,0.2817,1
2026-05-02,AM,37.7407,-78.5633,0.2392,1
2026-05-02,AM,37.7407,-78.4699,0.1905,1
2026-05-02,AM,37.7407,-78.3766,0.2163,1
2026-05-02,AM,37.7407,-78.2832,0.2423,1
2026-05-02,PM,38.2757,-78.75,0.2232,1
2026-05-02,PM,38.2757,-78.6566,0.2621,1
2026-05-02,PM,38.2757,-78.5633,0.2314,1
2026-05-02,PM,38.2757,-78.4699,0.2096,1
2026-05-02,PM,38.2757,-78.3766,0.1963,1
2026-05-02,PM,38.2757,-78.2832,0.1936,1
2026-05-02,PM,38.1862,-78.75,0.2482,1
2026-05-02,PM,38.1862,-78.6566,0.255,1
2026-05-02,PM,38.1862,-78.5633,0.2136,1
2026-05-02,PM,38.1862,-78.4699,0.1898,1
2026-05-02,PM,38.1862,-78.3766,0.1816,1
2026-05-02,PM,38.1862,-78.2832,0.1862,1
2026-05-02,PM,38.0969,-78.75,0.265,1
2026-05-02,PM,38.0969,-78.6566,0.2515,1
2026-05-02,PM,38.0969,-78.5633,0.2141,1
2026-05-02,PM,38.0969,-78.4699,0.1998,1
2026-05-02,PM,38.0969,-78.3766,0.1972,1
2026-05-02,PM,38.0969,-78.2832,0.1958,1
2026-05-02,PM,38.0077,-78.75,0.2489,1
2026-05-02,PM,38.0077,-78.6566,0.2508,1
2026-05-02,PM,38.0077,-78.5633,0.2149,1
2026-05-02,PM,38.0077,-78.4699,0.2026,1
2026-05-02,PM,38.0077,-78.3766,0.2119,1
2026-05-02,PM,38.0077,-78.2832,0.2129,1
2026-05-02,PM,37.9186,-78.75,0.2641,1
2026-05-02,PM,37.9186,-78.6566,0.2452,1
2026-05-02,PM,37.9186,-78.5633,0.2162,1
2026-05-02,PM,37.9186,-78.4699,0.1816,1
2026-05-02,PM,37.9186,-78.3766,0.1911,1
2026-05-02,PM,37.9186,-78.2832,0.2078,1
2026-05-02,PM,37.8296,-78.75,0.2852,1
2026-05-02,PM,37.8296,-78.6566,0.2622,1
2026-05-02,PM,37.8296,-78.5633,0.211,1
2026-05-02,PM,37.8296,-78.4699,0.1825,1
2026-05-02,PM,37.8296,-78.3766,0.1955,1
2026-05-02,PM,37.8296,-78.2832,0.2207,1
2026-05-02,PM,37.7407,-78.75,0.2853,1
2026-05-02,PM,37.7407,-78.6566,0.255,1
2026-05-02,PM,37.7407,-78.5633,0.2078,1
2026-05-02,PM,37.7407,-78.4699,0.187,1
2026-05-02,PM,37.7407,-78.3766,0.2087,1
2026-05-02,PM,37.7407,-78.2832,0.2403,1
2026-05-04,AM,38.2757,-78.75,0.1826,1
2026-05-04,AM,38.2757,-78.6566,0.1938,1
2026-05-04,AM,38.2757,-78.5633,0.173,1
2026-05-04,AM,38.2757,-78.4699,0.1795,1
2026-05-04,AM,38.2757,-78.3766,0.1705,1
2026-05-04,AM,38.2757,-78.2832,0.1545,1
2026-05-04,AM,38.1862,-78.75,0.1934,1
2026-05-04,AM,38.1862,-78.6566,0.2042,1
2026-05-04,AM,38.1862,-78.5633,0.1694,1
2026-05-04,AM,38.1862,-78.4699,0.1738,1
2026-05-04,AM,38.1862,-78.3766,0.1646,1
2026-05-04,AM,38.1862,-78.2832,0.1546,1
2026-05-04,AM,38.0969,-78.75,0.1872,1
2026-05-04,AM,38.0969,-78.6566,0.1968,1
2026-05-04,AM,38.0969,-78.5633,0.1813,1
2026-05-04,AM,38.0969,-78.4699,0.185,1
2026-05-04,AM,38.0969,-78.3766,0.1777,1
2026-05-04,AM,38.0969,-78.2832,0.1711,1
2026-05-04,AM,38.0077,-78.75,0.1899,1
2026-05-04,AM,38.0077,-78.6566,0.1866,1
2026-05-04,AM,38.0077,-78.5633,0.1767,1
2026-05-04,AM,38.0077,-78.4699,0.1839,1
2026-05-04,AM,38.0077,-78.3766,0.191,1
2026-05-04,AM,38.0077,-78.2832,0.1914,1
2026-05-04,AM,37.9186,-78.75,0.2057,1
2026-05-04,AM,37.9186,-78.6566,0.1757,1
2026-05-04,AM,37.9186,-78.5633,0.166,1
2026-05-04,AM,37.9186,-78.4699,0.1748,1
2026-05-04,AM,37.9186,-78.3766,0.2019,1
2026-05-04,AM,37.9186,-78.2832,0.206,1
2026-05-04,AM,37.8296,-78.75,0.2043,1
2026-05-04,AM,37.8296,-78.6566,0.1852,1
2026-05-04,AM,37.8296,-78.5633,0.179,1
2026-05-04,AM,37.8296,-78.4699,0.1994,1
2026-05-04,AM,37.8296,-78.3766,0.2258,1
2026-05-04,AM,37.8296,-78.2832,0.2216,1
2026-05-04,AM,37.7407,-78.75,0.217,1
2026-05-04,AM,37.7407,-78.6566,0.1926,1
2026-05-04,AM,37.7407,-78.5633,0.1862,1
2026-05-04,AM,37.7407,-78.4699,0.1945,1
2026-05-04,AM,37.7407,-78.3766,0.2176,1
2026-05-04,AM,37.7407,-78.2832,0.2134,1
2026-05-04,PM,38.2757,-78.75,0.1976,1
2026-05-04,PM,38.2757,-78.6566,0.2332,1
2026-05-04,PM,38.2757,-78.5633,0.2021,1
2026-05-04,PM,38.2757,-78.4699,0.1735,1
2026-05-04,PM,38.2757,-78.3766,0.1568,1
2026-05-04,PM,38.2757,-78.2832,0.1508,1
2026-05-04,PM,38.1862,-78.75,0.2053,1
2026-05-04,PM,38.1862,-78.6566,0.2431,1
2026-05-04,PM,38.1862,-78.5633,0.1991,1
2026-05-04,PM,38.1862,-78.4699,0.1735,1
2026-05-04,PM,38.1862,-78.3766,0.166,1
2026-05-04,PM,38.1862,-78.2832,0.1566,1
2026-05-04,PM,38.0969,-78.75,0.1897,1
2026-05-04,PM,38.0969,-78.6566,0.2105,1
2026-05-04,PM,38.0969,-78.5633,0.195,1
2026-05-04,PM,38.0969,-78.4699,0.1991,1
2026-05-04,PM,38.0969,-78.3766,0.1912,1
2026-05-04,PM,38.0969,-78.2832,0.1701,1
2026-05-04,PM,38.0077,-78.75,0.1924,1
2026-05-04,PM,38.0077,-78.6566,0.1867,1
2026-05-04,PM,38.0077,-78.5633,0.1843,1
2026-05-04,PM,38.0077,-78.4699,0.2027,1
2026-05-04,PM,38.0077,-78.3766,0.1911,1
2026-05-04,PM,38.0077,-78.2832,0.1789,1
2026-05-04,PM,37.9186,-78.75,0.2277,1
2026-05-04,PM,37.9186,-78.6566,0.2005,1
2026-05-04,PM,37.9186,-78.5633,0.2056,1
2026-05-04,PM,37.9186,-78.4699,0.1884,1
2026-05-04,PM,37.9186,-78.3766,0.1839,1
2026-05-04,PM,37.9186,-78.2832,0.1834,1
2026-05-04,PM,37.8296,-78.75,0.2246,1
2026-05-04,PM,37.8296,-78.6566,0.2299,1
2026-05-04,PM,37.8296,-78.5633,0.2293,1
2026-05-04,PM,37.8296,-78.4699,0.2016,1
2026-05-04,PM,37.8296,-78.3766,0.1914,1
2026-05-04,PM,37.8296,-78.2832,0.2059,1
2026-05-04,PM,37.7407,-78.75,0.2403,1
2026-05-04,PM,37.7407,-78.6566,0.2374,1
2026-05-04,PM,37.7407,-78.5633,0.2291,1
2026-05-04,PM,37.7407,-78.4699,0.1927,1
2026-05-04,PM,37.7407,-78.3766,0.1901,1
2026-05-04,PM,37.7407,-78.2832,0.202,1
