School Year,Division Number,Division Name,Subject,Pass Rate
2022-2023,104,Charlottesville City ,English:Reading,    64.94
2022-2023,104,Charlottesville City ,English:Writing,    41.94
2022-2023,104,Charlottesville City ,History and Social Science,    51.50
2022-2023,104,Charlottesville City ,Mathematics,    60.42
2022-2023,104,Charlottesville City ,Science,    55.84
2022-2023,32,Fluvanna County ,English:Reading,    67.78
2022-2023,32,Fluvanna County ,English:Writing,    61.54
2022-2023,32,Fluvanna County ,History and Social Science,    64.19
2022-2023,32,Fluvanna County ,Mathematics,    68.54
2022-2023,32,Fluvanna County ,Science,    64.15
2022-2023,39,Greene County ,English:Reading,    64.59
2022-2023,39,Greene County ,English:Writing,    49.80
2022-2023,39,Greene County ,History and Social Science,    56.14
2022-2023,39,Greene County ,Mathematics,    63.91
2022-2023,39,Greene County ,Science,    62.30
2022-2023,54,Louisa County ,English:Reading,    76.31
2022-2023,54,Louisa County ,English:Writing,    68.69
2022-2023,54,Louisa County ,History and Social Science,    75.27
2022-2023,54,Louisa County ,Mathematics,    78.53
2022-2023,54,Louisa County ,Science,    77.76
2022-2023,62,Nelson County ,English:Reading,    70.88
2022-2023,62,Nelson County ,English:Writing,    59.41
2022-2023,62,Nelson County ,History and Social Science,    74.35
2022-2023,62,Nelson County ,Mathematics,    73.34
2022-2023,62,Nelson County ,Science,    74.17
2022-2023,82,Rockingham County ,English:Reading,    63.67
2022-2023,82,Rockingham County ,English:Writing,    43.71
2022-2023,82,Rockingham County ,History and Social Science,    67.56
2022-2023,82,Rockingham County ,Mathematics,    62.27
2022-2023,82,Rockingham County ,Science,    65.59
2023-2024,2,Albemarle County ,English:Reading,    74.97
2023-2024,2,Albemarle County ,English:Writing,    77.77
2023-2024,2,Albemarle County ,History and Social Science,    73.11
2023-2024,2,Albemarle County ,Mathematics,    71.85
2023-2024,2,Albemarle County ,Science,    67.59
2023-2024,8,Augusta County ,English:Reading,    70.07
2023-2024,8,Augusta County ,English:Writing,    36.84
2023-2024,8,Augusta County ,History and Social Science,    69.23
2023-2024,8,Augusta County ,Mathematics,    68.58
2023-2024,8,Augusta County ,Science,    69.82
2023-2024,15,Buckingham County ,English:Reading,    61.85
2023-2024,15,Buckingham County ,English:Writing,    65.71
2023-2024,15,Buckingham County ,History and Social Science,    52.15
2023-2024,15,Buckingham County ,Mathematics,    62.90
2023-2024,15,Buckingham County ,Science,    62.79
2023-2024,104,Charlottesville City ,English:Reading,    64.68
2023-2024,104,Charlottesville City ,History and Social Science,    61.26
2023-2024,104,Charlottesville City ,Mathematics,    62.84
2023-2024,104,Charlottesville City ,Science,    62.21
2023-2024,32,Fluvanna County ,English:Reading,    70.85
2023-2024,32,Fluvanna County ,English:Writing,    83.95
2023-2024,32,Fluvanna County ,History and Social Science,    65.24
2023-2024,32,Fluvanna County ,Mathematics,    73.61
2023-2024,32,Fluvanna County ,Science,    63.75
2023-2024,39,Greene County ,English:Reading,    62.94
2023-2024,39,Greene County ,History and Social Science,    58.60
2023-2024,39,Greene County ,Mathematics,    66.64
2023-2024,39,Greene County ,Science,    64.01
2023-2024,54,Louisa County ,English:Reading,    78.56
2023-2024,54,Louisa County ,English:Writing,    97.33
2023-2024,54,Louisa County ,History and Social Science,    78.63
2023-2024,54,Louisa County ,Mathematics,    80.49
2023-2024,54,Louisa County ,Science,    78.05
2023-2024,62,Nelson County ,English:Reading,    71.75
2023-2024,62,Nelson County ,English:Writing,<50
2023-2024,62,Nelson County ,History and Social Science,    69.68
2023-2024,62,Nelson County ,Mathematics,    75.56
2023-2024,62,Nelson County ,Science,    69.38
2023-2024,82,Rockingham County ,English:Reading,    64.68
2023-2024,82,Rockingham County ,English:Writing,<50
2023-2024,82,Rockingham County ,History and Social Science,    63.16
2023-2024,82,Rockingham County ,Mathematics,    66.51
2023-2024,82,Rockingham County ,Science,    65.71
2024-2025,2,Albemarle County ,English:Reading,    75.32
2024-2025,2,Albemarle County ,English:Writing,    75.19
2024-2025,2,Albemarle County ,History and Social Science,    72.15
2024-2025,2,Albemarle County ,Mathematics,    73.97
2024-2025,2,Albemarle County ,Science,    70.06
2024-2025,8,Augusta County ,English:Reading,    70.34
2024-2025,8,Augusta County ,English:Writing,    46.51
2024-2025,8,Augusta County ,History and Social Science,    69.37
2024-2025,8,Augusta County ,Mathematics,    69.79
2024-2025,8,Augusta County ,Science,    71.57
2024-2025,15,Buckingham County ,English:Reading,    64.71
2024-2025,15,Buckingham County ,History and Social Science,    55.60
2024-2025,15,Buckingham County ,Mathematics,    62.69
2024-2025,15,Buckingham County ,Science,    61.38
2024-2025,104,Charlottesville City ,English:Reading,    66.92
2024-2025,104,Charlottesville City ,English:Writing,<50
2024-2025,104,Charlottesville City ,History and Social Science,    58.76
2024-2025,104,Charlottesville City ,Mathematics,    66.76
2024-2025,104,Charlottesville City ,Science,    57.60
2024-2025,32,Fluvanna County ,English:Reading,    71.01
2024-2025,32,Fluvanna County ,English:Writing,    80.31
2024-2025,32,Fluvanna County ,History and Social Science,    57.71
2024-2025,32,Fluvanna County ,Mathematics,    75.10
2024-2025,32,Fluvanna County ,Science,    63.74
2024-2025,39,Greene County ,English:Reading,    67.38
2024-2025,39,Greene County ,History and Social Science,    58.17
2024-2025,39,Greene County ,Mathematics,    70.48
2024-2025,39,Greene County ,Science,    71.80
2024-2025,54,Louisa County ,English:Reading,    81.92
2024-2025,54,Louisa County ,English:Writing,    99.30
2024-2025,54,Louisa County ,History and Social Science,    78.11
2024-2025,54,Louisa County ,Mathematics,    84.38
2024-2025,54,Louisa County ,Science,    81.76
2024-2025,62,Nelson County ,English:Reading,    75.24
2024-2025,62,Nelson County ,English:Writing,>50
2024-2025,62,Nelson County ,History and Social Science,    71.61
2024-2025,62,Nelson County ,Mathematics,    79.42
2024-2025,62,Nelson County ,Science,    72.48
2024-2025,82,Rockingham County ,English:Reading,    65.90
2024-2025,82,Rockingham County ,English:Writing,<50
2024-2025,82,Rockingham County ,History and Social Science,    66.47
2024-2025,82,Rockingham County ,Mathematics,    68.34
2024-2025,82,Rockingham County ,Science,    70.19
